centro formativo, referir, disposición
trabajo, acordar, convenio colectivo
trabajo, acordar, colectivo
trabajo, acordar, convenio
trabajo, incluir, formación
trabajo, establecer, convenio colectivo
trabajo, establecer, colectivo
trabajo, establecer, convenio
trabajo, computar, jornada
trabajo, computar, jornada
trabajo, informar, autoridad laboral
trabajo, informar, autoridad
trabajo, contar, trabajador
trabajo, contar, principio
trabajo, establecer, convenio colectivo
trabajo, establecer, colectivo
trabajo, establecer, convenio
trabajo, quedar, procedimiento
trabajo, afectar, procedimiento
trabajo, afectar, contrato
trabajo, afectar, contrato de trabajo
trabajo, notificar, trabajador
trabajo, notificar, empresario
trabajo, quedar, procedimiento
trabajo, corresponder, delegados de personal
trabajo, corresponder, comité de empresa
trabajo, corresponder, empresa
trabajo, corresponder, comité
trabajo, corresponder, personal
trabajo, existir, representación legal
trabajo, afectar, procedimiento
trabajo, notificar, empresario
trabajo, computar, cesión
trabajo, extinguir, relación laboral
trabajo, quedar, procedimiento
trabajo, afectar, procedimiento
trabajo, suspender, procedimiento
trabajo, suspender, fuerza
trabajo, afectar, empresa
trabajo, quedar, procedimiento
trabajo, afectar, procedimiento
trabajo, constatar, autoridad laboral
trabajo, constatar, autoridad
trabajo, abonar, salario
trabajo, abonar, trabajador
trabajo, guardar, riesgo
trabajo, finalizar, adopción
trabajo, contrato, adopción
trabajo, finalizar, contrato
trabajo, finalizar, suspensión del contrato
trabajo, finalizar, suspensión
trabajo, guardar, riesgo
trabajo, finalizar, adopción
trabajo, contrato, adopción
trabajo, finalizar, contrato
trabajo, finalizar, suspensión del contrato
trabajo, finalizar, suspensión
trabajo, producir, indemnización
trabajo, producir, tramitación
trabajo, producir, derecho
trabajo, utilizar, empresa
trabajo, cubrir, trabajador
trabajo, elegir, delegado
trabajo, treinta, delegado
trabajo, elegir, personal
trabajo, treinta, personal
trabajo, celebrar, elección
trabajo, celebrar, computar
trabajo, permitir, disposición
trabajo, afectar, empresa
trabajo, comunicar, autoridad laboral
trabajo, comunicar, autoridad
trabajo, contar, legislación laboral
trabajo, someter, legislación laboral
trabajo, contar, legislación
trabajo, someter, legislación
trabajo, tratar, acuerdo
trabajo, incluir, permiso
trabajo, incluir, permiso
trabajo, incluir, permiso
trabajo, encontrar, incapacidad
prevención, resultar, órgano
prevención, reunir, órgano
grupo profesional , establecer, prestación
grupo profesional , establecer, contenido
grupo profesional , establecer, objeto del contrato
convenio colectivo, contrato, función
convenio colectivo, fijar, mutuo acuerdo
convenio colectivo, entrar, empresa
convenio colectivo, entrar, empresario
convenio colectivo, entrar, empresa
convenio colectivo, entrar, empresa
convenio colectivo, finalizar, permiso
convenio colectivo, iniciar, permiso
convenio colectivo, precisar, permiso
convenio colectivo, finalizar, permiso
convenio colectivo, iniciar, permiso
convenio colectivo, precisar, permiso
convenio colectivo, finalizar, permiso
convenio colectivo, iniciar, permiso
convenio colectivo, precisar, permiso
convenio colectivo, alcanzar, periodo de consultas
convenio colectivo, alcanzar, periodo
convenio colectivo, alcanzar, periodo de consultas
convenio colectivo, alcanzar, periodo
convenio colectivo, reunir, legitimación
convenio colectivo, mantener, vigencia
convenio colectivo, mantener, vigencia
convenio colectivo, establecer, régimen
convenio colectivo, establecer, salarial
cómputo anual, ofrecer, trabajador
sentencia, declarar, traslado
sentencia, declarar, modificación
sentencia, declarar, modificación
sentencia, declarar, trabajo
sentencia, contrato, trabajo
sentencia, declarar, contrato
sentencia, declarar, contrato de trabajo
sentencia, optar, indemnización
sentencia, entrar, indemnización
sentencia, optar, trabajador
sentencia, entrar, trabajador
sentencia, optar, readmisión
sentencia, entrar, readmisión
sentencia, declarar, empleo
sentencia, encontrar, empleo
sentencia, declarar, despido
sentencia, declarar, despido
acción, contratar, formación
acción, efectuar, acción administrativa
acción, favorecer, profesiones
acción, exigir, cumplimiento
horario, venir, legislación
aplicación, concertir, discapacidad
aplicación, contrato, discapacidad
aplicación, contrato, tiempo parcial
aplicación, considerar, trabajador
aplicación, mantener, convenio colectivo
aplicación, mantener, origen
aplicación, mantener, colectivo
aplicación, mantener, convenio
aplicación, someter, procedimiento concursal
aplicación, someter, procedimiento
aplicación, declarar, procedencia
aplicación, declarar, despido
aplicación, declarar, despido
aplicación, declarar, procedencia
aplicación, establecer, convenio colectivo
aplicación, establecer, colectivo
aplicación, establecer, acuerdo
aplicación, establecer, convenio
aplicación, negociar, representación de los trabajadores
aplicación, corresponder, comisión
aplicación, corresponder, comisión
aplicación, intervenir, comisión
aplicación, intervenir, comisión
aplicación, suscribir, marco
aplicación, suscribir, empleo
aplicación, contrato, trabajo
aplicación, afectar, cónyuge
extinción del contrato, contrato, trabajo
extinción del contrato, comunicar, denuncia
extinción del contrato, contrato, denuncia
extinción del contrato, contrato, trabajo
extinción del contrato, contrato, persona
extinción del contrato, contrato, trabajo
extinción del contrato, producir, indemnización
extinción del contrato, contrato, indemnización
extinción del contrato, producir, derecho
extinción del contrato, contrato, derecho
extinción del contrato, contrato, trabajo
extinción del contrato, contrato, trabajo
extinción del contrato, contrato, trabajador
extinción del contrato, contrato, cumplimiento
extinción del contrato, contrato, trabajo
rescindir, percibir, indemnización
rescindir, contrato, indemnización
rescindir, percibir, salario
rescindir, contrato, salario
indemnización, referir, empresario
indemnización, treinta, salario
indemnización, treinta, servicio
indemnización, contrato, trabajo
traslado, notificar, trabajador
traslado, notificar, empresario
traslado, optar, compensación
traslado, percibir, compensación
traslado, entrar, compensación
traslado, reconocer, derecho
traslado, referir, periodo de consultas
traslado, referir, periodo
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada completa
contrato, presumir, jornada completa
contrato, formalizar, transcurso
contrato, formalizar, relación laboral
contrato, contener, datos
contrato, permanecer, válido
contrato, resultar, trabajo
contrato, exigir, trabajo
contrato, resultar, trabajador
contrato, continuar, empresa
contrato, continuar, periodo
contrato, concertir, discapacidad
contrato, entender, tiempo parcial
contrato, celebrar, tiempo parcial
contrato, figurar, trabajo
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada completa
contrato, presumir, jornada completa
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada
contrato, presumir, jornada
contrato, celebrar, jornada completa
contrato, presumir, jornada completa
contrato, concertir, jornada completa
contrato, concertir, duración
contrato, celebrar, jubilación parcial
contrato, celebrar, jubilación
contrato, celebrar, duración
contrato, alcanzar, duración
contrato, alcanzar, empresario
contrato, alcanzar, duración
contrato, celebrar, jornada
contrato, sustituir, jornada
contrato, celebrar, jornada
contrato, sustituir, jornada
contrato, celebrar, empresa
contrato, prorrogar, periodo
contrato, deber, empresario
contrato, deber, diligencia
contrato, optar, cuantía
contrato, abonar, cuantía
contrato, entrar, cuantía
contrato, percibir, indemnización
contrato, percibir, salario
contrato, percibir, servicio
contrato, suspender, fuerza
contrato, referir, duración
contrato, finalizar, parto
contrato, iniciar, parto
contrato, constituir, abuso
contrato, constituir, derecho
contrato, continuar, prestación
contrato, comunicar, denuncia
contrato, producir, indemnización
contrato, producir, derecho
contrato, utilizar, empresa
contrato, incluir, indemnización
contrato, incluir, negociación colectiva
contrato, entender, perjuicio
contrato, incluir, permiso
contrato, incluir, permiso
contrato, incluir, permiso
acción positiva, favorecer, profesiones
pacto, quedar, trabajador
pacto, contrato, tiempo parcial
pacto, contrato, duración
pacto, establecer, trabajador
pacto, establecer, periodo
pacto, extinguir, trabajo
pacto, contrato, trabajo
pacto, extinguir, contrato
pacto, extinguir, contrato de trabajo
pacto, establecer, empresa
pacto, establecer, acuerdo
pacto, mantener, vigencia
pacto, mantener, vigencia
descanso, considerar, trabajo
descanso, considerar, trabajo efectivo
descanso, solicitar, trabajo
demanda, paralizar, tramitación
contrato de trabajo, permanecer, válido
contrato de trabajo, entender, tiempo parcial
contrato de trabajo, celebrar, tiempo parcial
contrato de trabajo, suspender, fuerza
contrato de trabajo, producir, indemnización
contrato de trabajo, producir, derecho
contrato de trabajo, utilizar, empresa
contrato de trabajo, incluir, permiso
contrato de trabajo, incluir, permiso
contrato de trabajo, incluir, permiso
salario, alcanzar, contrato
salario, alcanzar, contrato de relevo
salario, afectar, cuantía
salario, exceder, salario mínimo interprofesional
salario, exceder, salario mínimo interprofesional
salario, exceder, salario mínimo
salario, exceder, salario mínimo
salario, exceder, salario mínimo interprofesional
salario, exceder, salario mínimo interprofesional
salario, exceder, salario mínimo interprofesional
salario, exceder, salario mínimo
salario, exceder, salario mínimo
salario, exceder, salario mínimo interprofesional
salario, entrar, duración
desempleo, contrato, duración
menor, suspender, trabajo
menor, contrato, trabajo
menor, suspender, contrato
menor, suspender, contrato de trabajo
aprendizaje, referir, disposición
aprendizaje, fijar, trabajo
aprendizaje, fijar, trabajo efectivo
aprendizaje, fijar, acuerdo
aprendizaje, celebrar, discapacidad
igualdad, ajustar, ley
igualdad, entrar, empresa
igualdad, entrar, ámbito
igualdad, proceder, ámbito territorial
igualdad, proceder, ámbito
igualdad, entrar, ocupación
igualdad, entrar, empleo
igualdad, entrar, ocupación
igualdad, entrar, empleo
delegados de personal, reclamar, jurisdicción
delegados de personal, reclamar, jurisdicción social
delegados de personal, ejercer, empresario
delegados de personal, ejercer, empresa
delegados de personal, observar, sigilo profesional
delegados de personal, cubrir, trabajador
delegados de personal, referir, convenio
información, facilitar, comité de empresa
información, facilitar, empresario
información, facilitar, empresa
información, facilitar, comité
información, facilitar, perjuicio
comité de empresa, informar, empresario
comité de empresa, consultar, empresario
comité de empresa, proceder, derecho
comité de empresa, solicitar, empresario
comité de empresa, entrar, delegados de personal
comité de empresa, entrar, personal
contrato de relevo, concertir, jornada completa
contrato de relevo, concertir, duración
contrato de relevo, celebrar, jubilación parcial
contrato de relevo, celebrar, jubilación
contrato de relevo, celebrar, duración
contrato de relevo, alcanzar, duración
contrato de relevo, celebrar, jornada
contrato de relevo, sustituir, jornada
contrato de relevo, celebrar, jornada
contrato de relevo, sustituir, jornada
contrato de relevo, celebrar, empresa
conflicto colectivo, paralizar, tramitación
trabajo nocturno, informar, autoridad laboral
trabajo nocturno, informar, autoridad
titulación, tratar, contrato
titulación, contratar, contrato
origen, incluir, condición social
origen, incluir, condición
origen, incluir, religión
origen, incluir, estado civil
origen, adoptar, suspensión
origen, adoptar, periodo
salario mínimo interprofesional, afectar, cuantía
participación, convocar, empresario
autorizar, aprobar, texto refundido
autorizar, expresar, trabajo
formación profesional, favorecer, promoción
formación profesional, favorecer, promoción
formación profesional, convocar, empresario
tutela, resultar, víctima
tutela, resultar, protección
tutela, resultar, derecho
tutela, reconocer, ley
tutela, reconocer, ley
discapacidad, desempeñar, derecho
grado medio, reconocer, acuerdo
dirección, establecer, notificación
dirección, deber, notificación
dirección, establecer, deber
dirección, resolver, jurisdicción
dirección, resolver, jurisdicción social
dirección, comunicar, periodo de consultas
dirección, comunicar, periodo
dirección, acordar, condiciones de trabajo
dirección, comunicar, periodo de consultas
dirección, comunicar, periodo
dirección, iniciar, despido
dirección, iniciar, despido colectivo
dirección, iniciar, procedimiento
dirección, iniciar, colectivo
dirección, iniciar, despido
dirección, gozar, salario
dirección, gozar, garantías del salario
prestación, figurar, contrato de trabajo
prestación, estimar, concurrencia
prestación, contrato, trabajo
prestación, exigir, créditos
prestación, reducir, cantidad
prestación, incluir, trabajo a distancia
prestación, incluir, empresario
relación laboral especial, establecer, deber
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, designar, empresario
comisión, constituir, acuerdo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, existir, trabajo
comisión, impedir, transcurso
comisión, impedir, periodo de consultas
comisión, impedir, periodo
comisión, alcanzar, acuerdo
comisión, efectuar, derecho
comisión, corresponder, mutuo acuerdo
comisión, corresponder, acuerdo
comisión, requerir, voto
votación, implicar, suspensión
votación, efectuar, jornada
votación, efectuar, jornada
votación, efectuar, trabajo
votación, efectuar, jornada laboral
votación, efectuar, jornada laboral
votación, efectuar, lugar de trabajo
votación, proceder, contenido
paternidad, interrumpir, duración del contrato
paternidad, interrumpir, duración
ejercicio individual, contrato, trabajo
representante, proceder, firma
representante, tratar, discapacidad
representante, tratar, persona
representante, asistir, votación
trabajador, exigir, trabajo
trabajador, exigir, remuneración
trabajador, pactar, trabajo
trabajador, contratar, empresa
trabajador, continuar, empresa
trabajador, continuar, periodo
trabajador, contratar, empresa
trabajador, recibir, contrato
trabajador, recibir, formación
trabajador, recibir, contrato para la formación
trabajador, contratar, aprendizaje
trabajador, contratar, formación
trabajador, contratar, aprendizaje
trabajador, contratar, aprendizaje
trabajador, contratar, formación
trabajador, contratar, aprendizaje
trabajador, continuar, contrato
trabajador, continuar, empresa
trabajador, continuar, término
trabajador, considerar, jornada
trabajador, considerar, jornada
trabajador, constituir, sancionable
trabajador, constituir, conducta
trabajador, acceder, jubilación parcial
trabajador, acceder, jubilación
trabajador, cumplir, refundido
trabajador, cumplir, texto refundido
trabajador, alcanzar, edad
trabajador, alcanzar, edad de jubilación
trabajador, continuar, contrato
trabajador, continuar, contrato de relevo
trabajador, continuar, empresa
trabajador, cumplir, edad
trabajador, cumplir, jubilación
trabajador, cumplir, edad de jubilación
trabajador, desempeñar, empresa
trabajador, contar, representante
trabajador, contar, representante legal
trabajador, observar, trabajo
trabajador, recibir, formación teórica
trabajador, recibir, formación
trabajador, seguir, formación
trabajador, deber, trabajo
trabajador, deber, empresario
trabajador, deber, diligencia
trabajador, guardar, adopción
trabajador, guardar, aplicación
trabajador, justificar, trabajo
trabajador, estimar, concurrencia
trabajador, recibir, especialización profesional
trabajador, recibir, empresario
trabajador, recibir, cargo
trabajador, recibir, empresa
trabajador, abandonar, trabajo
trabajador, abandonar, empresario
trabajador, abandonar, derecho
trabajador, prestar, contrato
trabajador, afectar, excedencia
trabajador, afectar, excedencia
trabajador, percibir, indemnización
trabajador, deber, indemnización
trabajador, deber, desempeño
trabajador, deber, cargo
trabajador, reclamar, convenio colectivo
trabajador, reclamar, ascenso
trabajador, reclamar, convenio
trabajador, reclamar, jurisdicción
trabajador, reclamar, jurisdicción social
trabajador, optar, compensación
trabajador, percibir, compensación
trabajador, entrar, compensación
trabajador, optar, contrato
trabajador, reincorporar, trabajo
trabajador, reincorporar, origen
trabajador, reincorporar, centro de trabajo
trabajador, resultar, modificación
trabajador, resultar, rescindir
trabajador, resultar, derecho
trabajador, resultar, modificación sustancial
trabajador, resultar, perjudicado
trabajador, resultar, modificación
trabajador, optar, rescisión
trabajador, optar, contrato
trabajador, existir, sentencia
trabajador, transcurrir, excedencia
trabajador, transcurrir, excedencia
trabajador, permanecer, excedencia
trabajador, permanecer, excedencia
trabajador, conservar, derecho
trabajador, declarar, medida
trabajador, recibir, indemnización
trabajador, recibir, cuantía
trabajador, solicitar, representante
trabajador, solicitar, representante legal
trabajador, solicitar, extinción del contrato
trabajador, solicitar, contrato
trabajador, afectar, empleo
trabajador, referir, empresario
trabajador, contrato, trabajo
trabajador, tratar, discapacidad
trabajador, tratar, persona
trabajador, deber, autoridad
trabajador, treinta, salario
trabajador, obtener, votación
trabajador, afectar, trabajo
trabajador, contrato, trabajo
trabajador, afectar, extinción del contrato
trabajador, afectar, contrato
trabajador, afectar, contrato de trabajo
trabajador, seguir, aplicación
tiempo parcial, acordar, prestación
tiempo parcial, acordar, prestación de servicios
tiempo parcial, entrar, empresa
tiempo parcial, entrar, persona
jornada completa, asegurar, protección
jornada completa, entrar, empresa
jornada completa, entrar, persona
jornada completa, entrar, empresa
jornada completa, entrar, persona
condiciones de trabajo, establecer, convenio colectivo
condiciones de trabajo, establecer, colectivo
condiciones de trabajo, establecer, convenio
condiciones de trabajo, notificar, empresario
condiciones de trabajo, notificar, empresario
condiciones de trabajo, afectar, empresa
condiciones de trabajo, comunicar, autoridad laboral
condiciones de trabajo, comunicar, autoridad
ámbito, incluir, empresa
ámbito, entrar, traslado
ámbito, regular, condiciones de trabajo
ámbito, negociar, marco
ámbito, formalizar, marco
ámbito, deber, marco
ámbito, negociar, negociación colectiva
ámbito, formalizar, negociación colectiva
ámbito, deber, negociación colectiva
ámbito, establecer, procedimiento
ámbito, negociar, representación de los trabajadores
ámbito, referir, convenio
trabajo diurno, existir, empresa
pensión, reconocer, jubilación parcial
pensión, reconocer, trabajador
pensión, reconocer, jubilación
cumplimiento, contrato, trabajador
cumplimiento, contrato, deber
cumplimiento, abonar, importe
cumplimiento, deber, personal
cumplimiento, suponer, prestación
cumplimiento, deber, prestación
cumplimiento, percibir, indemnización
cumplimiento, deber, indemnización
cumplimiento, deber, desempeño
cumplimiento, deber, cargo
cumplimiento, requerir, empresa
jubilado, continuar, contrato
jubilado, continuar, contrato de relevo
jubilado, continuar, empresa
jubilado, cumplir, edad
jubilado, cumplir, jubilación
jubilado, cumplir, edad de jubilación
ámbito estatal, establecer, procedimiento
precepto, permanecer, disposición
ámbito de aplicación, negociar, representación de los trabajadores
relación laboral, establecer, deber
relación laboral, extinguir, trabajador
relación laboral, extinguir, jubilación
relación laboral, quedar, empresario
relación laboral, acceder, empleo
duración del contrato, contrato, exceder
duración del contrato, contrato, aprendizaje
duración del contrato, contrato, trabajador
duración del contrato, contrato, formación
duración del contrato, contrato, aprendizaje
duración del contrato, celebrar, jubilación parcial
duración del contrato, contrato, jubilación parcial
duración del contrato, celebrar, jubilación
duración del contrato, contrato, jubilación
duración del contrato, celebrar, empresa
duración del contrato, contrato, empresa
duración del contrato, contrato, servicio
legalidad, contener, datos
jurisdicción social, declarar, nulidad
jurisdicción social, declarar, medida
jurisdicción social, entender, convenio colectivo
jurisdicción social, entender, colectivo
jurisdicción social, entender, convenio
contratación, atribuir, ley
contratación, atribuir, empresa
contratación, reconocer, negociación colectiva
alta dirección, establecer, notificación
alta dirección, deber, notificación
alta dirección, establecer, deber
alta dirección, gozar, salario
alta dirección, gozar, garantías del salario
notificación, optar, trabajador
notificación, entrar, trabajador
notificación, optar, readmisión
notificación, entrar, readmisión
excedencia, presentar, duración
excedencia, presentar, periodo
excedencia, ejercer, ámbito
excedencia, conservar, derecho
desempeño, percibir, indemnización
desempeño, percibir, importe
procedimiento concursal, solicitar, empresa
discriminación, entrar, sexo
elección, imposibilitar, trabajo
mandato, comunicar, oficina pública
mandato, comunicar, autoridad laboral
mandato, comunicar, autoridad
mandato, producir, dimisión
ley, favorecer, vida
ley, favorecer, contratación
ley, considerar, trabajo
ley, considerar, organización
ley, considerar, centro de trabajo
ley, considerar, unidad productiva
ley, calcular, servicio
ley, treinta, servicio
ley, considerar, trabajo
ley, considerar, trabajo nocturno
ley, entender, despido
ley, entender, trabajo
ley, entender, despido colectivo
ley, entender, colectivo
ley, entender, despido
ley, remitir, autoridad laboral
ley, remitir, autoridad
ley, incluir, ámbito
ley, incluir, ámbito de aplicación
ley, considerar, reducción de jornada
ley, corresponder, reducción de jornada
ley, corresponder, persona
ley, dictar, acuerdo
formación, contrato, aprendizaje
formación, contrato, aprendizaje
formación, fijar, trabajo
formación, fijar, trabajo efectivo
formación, favorecer, promoción
formación, favorecer, promoción
formación, considerar, trabajo
formación, considerar, trabajo efectivo
formación, deber, cargo
formación, deber, empresa
formación, convocar, empresario
formación, considerar, trabajo
formación, considerar, empresario
formación, considerar, trabajo efectivo
formación, celebrar, discapacidad
texto refundido, entender, concurrir
improcedente, proceder, trabajador
improcedente, proceder, readmisión
análisis, entrar, trabajo
actividad laboral, compartir, trabajo
actividad laboral, compartir, centro de trabajo
cualificación, referir, perjuicio
cualificación, contrato, formación
antigüedad, computar, cesión
régimen, entrar, empresa
régimen, entrar, empresa
régimen, establecer, convenio colectivo
régimen, establecer, ámbito
régimen, establecer, ámbito estatal
régimen, establecer, colectivo
régimen, establecer, acuerdo
régimen, establecer, convenio
crédito, treinta, trabajo
crédito, treinta, cuantía
crédito, venir, legislación
condición, existir, obligación
crédito horario, venir, legislación
compensación, entrar, jornada
compensación, entrar, jornada
compensación, pactar, convenio colectivo
compensación, pactar, contrato
compensación, pactar, colectivo
compensación, pactar, convenio
compensación, contrato, indemnización
ampliación, proceder, adopción
acción administrativa, exigir, cumplimiento
acción administrativa, exigir, principio
centro de trabajo, exigir, residencia
centro de trabajo, corresponder, delegados de personal
centro de trabajo, corresponder, comité de empresa
centro de trabajo, corresponder, empresa
centro de trabajo, corresponder, comité
centro de trabajo, corresponder, personal
centro de trabajo, existir, representación legal
centro de trabajo, celebrar, elección
centro de trabajo, celebrar, computar
periodo de consultas, negociar, buena fe
periodo de consultas, entender, derecho
periodo de consultas, entender, perjuicio
periodo de consultas, referir, aplicación
periodo de consultas, referir, procedimiento
periodo de consultas, negociar, buena fe
periodo de consultas, finalizar, concurrir
periodo de consultas, presumir, concurrir
periodo de consultas, finalizar, acuerdo
periodo de consultas, negociar, buena fe
periodo de consultas, quedar, procedimiento
periodo de consultas, finalizar, concurrir
periodo de consultas, presumir, concurrir
periodo de consultas, finalizar, acuerdo
periodo de consultas, negociar, buena fe
periodo de consultas, notificar, autoridad laboral
periodo de consultas, notificar, autoridad
periodo de consultas, dirigir, empresario
periodo de consultas, quedar, procedimiento
periodo de consultas, negociar, buena fe
periodo de consultas, comunicar, autoridad laboral
periodo de consultas, comunicar, autoridad
periodo de consultas, finalizar, concurrir
periodo de consultas, presumir, concurrir
periodo de consultas, finalizar, acuerdo
periodo de consultas, finalizar, acuerdo
deber, suponer, trabajo
deber, suponer, prestación
deber, percibir, indemnización
deber, percibir, importe
deber, permanecer, suspensión
deber, permanecer, periodo
deber, permanecer, continuación
deber, emitir, comité de empresa
deber, emitir, empresa
deber, emitir, comité
deber, observar, información
deber, negociar, igualdad
deber, promover, igualdad
deber, negociar, igualdad
deber, negociar, marco
deber, formalizar, marco
deber, negociar, negociación colectiva
deber, formalizar, negociación colectiva
vigencia, contrato, salario
vigencia, afectar, ámbito
vigencia, reunir, legitimación
vigencia, desarrollar, empresa
vigencia, aplicar, ámbito
empresario, comunicar, oficina pública
empresario, comunicar, oficina pública de empleo
empresario, comunicar, empleo
empresario, entregar, representación legal
empresario, informar, trabajador
empresario, conservar, jornada
empresario, conservar, jornada
empresario, ofrecer, trabajador
empresario, informar, duración
empresario, facilitar, trabajador
empresario, suponer, acción
empresario, recibir, formación teórica
empresario, garantizar, formación teórica
empresario, garantizar, trabajador
empresario, recibir, formación
empresario, garantizar, formación
empresario, someter, buena fe
empresario, verificar, trabajador
empresario, establecer, contenido
empresario, pagar, trabajo
empresario, pagar, prestación
empresario, declarar, concurrir
empresario, declarar, créditos
empresario, recurrir, trabajo
empresario, recurrir, trabajo nocturno
empresario, organizar, trabajo
empresario, notificar, traslado
empresario, finalizar, periodo de consultas
empresario, finalizar, periodo
empresario, finalizar, acuerdo
empresario, extinguir, mandato
empresario, suspender, trabajo
empresario, contrato, trabajo
empresario, suspender, contrato
empresario, suspender, contrato de trabajo
empresario, notificar, autoridad laboral
empresario, notificar, autoridad
empresario, comunicar, autoridad laboral
empresario, comunicar, autoridad
empresario, percibir, trabajador
empresario, impedir, representante
empresario, impedir, trabajador
empresario, impedir, firma
empresario, comunicar, autoridad laboral
empresario, comunicar, autoridad
empresario, comunicar, autoridad laboral
empresario, comunicar, autoridad
empresario, ofrecer, trabajador
empresario, abonar, salario
empresario, abonar, trabajador
empresario, abonar, periodo
empresario, proceder, indemnización
empresario, proceder, trabajador
empresario, proceder, readmisión
empresario, establecer, refundido
empresario, prescribir, refundido
empresario, establecer, texto refundido
empresario, prescribir, texto refundido
empresario, designar, votación
empresario, asistir, votación
empresario, designar, representante
empresario, remitir, mesa electoral
empresario, facilitar, votación
empresario, facilitar, trabajo
empresario, facilitar, centro de trabajo
empresario, ostentar, dirección
empresario, ostentar, órganos de administración de las empresas
adquisición, reconocer, derecho necesario
concurrencia, pactar, compensación económica
concurrencia, pactar, compensación
concurrencia, entrar, ámbito
despido procedente, contrato, trabajo
órgano, declarar, nulidad
mesa electoral, solicitar, empresario
mesa electoral, proceder, subsanación
mesa electoral, efectuar, reclamación
mesa electoral, requerir, reclamación
